No.,book_name,author,publishing-house,date,price,score,url,comment
1,红楼梦,[清] 曹雪芹 著,人民文学出版社,1996,59.7,9.6,https://book.douban.com/subject/1007305/,石头记22回，宝钗做生辰，贾府开了梨园会搭台看戏。“大家娘儿姐妹等说笑时，贾母因问宝钗爱听何戏，爱吃何物等语。宝钗深知贾母年老人，喜热闹戏文，爱吃甜烂之物，便总依贾母贾母往日素喜着说了出来，贾母更加欢悦。”记得每每有人分析宝钗的性格时，这一段便经常被拿出...
2,活着,余华,作家出版社,2012,20.0,9.4,https://book.douban.com/subject/4913064/,这篇书评可能有关键情节透露好吧。我突然想起来还有这么一本书。在去年炎热夏季。从成都到南宁的火车上。36个小时。我突然想起来还有这么一本书在我的背包里。对面是吃瓜子喝啤酒恩爱的年轻男女。男子高瘦英俊。法学本科。女子温暖小巧。垂下眼有着美丽的睫毛。突然觉得无聊。于是聊到有什么杂志看。...
3,1984,[英] 乔治·奥威尔,北京十月文艺出版社,2010,28.0,9.4,https://book.douban.com/subject/4820710/,朋友曾经问，看过1984最大的感受是什么？很多人说恐惧，可是我却只感受到刻骨的，无法用泪水倾泄的悲伤。在黄昏的小屋里，他和她从缱绻后的睡梦中醒来，窗外夕阳的光芒投射在她的身上，外面有一个洗衣妇人的歌声和尘世中种种车来人往。那样的时刻，那样的爱情，它真实地存在...
4,哈利·波特,J.K.罗琳 (J.K.Rowling),人民文学出版社,2008,498.0,9.7,https://book.douban.com/subject/24531956/,这篇书评可能有关键情节透露其实这个系列有很多版本，不同版本评分也略有差别。我是从中挑选了一套评分最高的作为参考，因为我认为这部陪伴我长大的书担得起所有赞誉。在学习、看书、看恐怖片、写书评间犹豫了一会儿，还是决定把书评写了吧。这部跨越了初中、高中、大学，跨越了我到目前人生近四分之三的...
5,三体全集:地球往事三部曲,刘慈欣,重庆出版社,2012,168.0,9.5,https://book.douban.com/subject/6518605/,评论刘慈欣的《三体》是件困难的事情，因为可以选择的角度太多。反复思量过后挑了这个角度，在我看来，写一部好的科幻小说，或者一部适合评论家们的科幻小说都不是难事，但是当作家的心思并不是用在这些上面，而是捎带着完成了这两件事的时候，就并不是那么容易了。很容易看出...
6,百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011,39.5,9.3,https://book.douban.com/subject/6082808/,面对这样的作品，当你没有能力读它的时候，千万不要试图去读懂。不要逼自己去面对那些看似纷乱的情节，不要强迫自己搞清楚那一代又一代的人物关系，不要翻来覆去的理清某些相似的名字不同的人物。这些屏障存在于那里，已经说明你无须去读它，起码是当下，无须去读。就像高中的...
7,飘,[美国] 玛格丽特·米切尔,译林出版社,2000,40.0,9.3,https://book.douban.com/subject/1068920/,这篇书评可能有关键情节透露人真是怪。十几年前读《飘》的时候，我是喜欢郝思嘉的。可最近，无意中拿起旧书重读，却深深地被媚兰吸引住了。难道是年龄的缘故，人的思想真的会改变的吗？哪个年轻女孩看了《飘》不喜欢郝思嘉呢？漂亮不说，又聪明倔强，周围总有男人围绕着。特别是有瑞德这样有魅力的男...
8,动物农场,[英] 乔治·奥威尔,上海译文出版社,2007,10.0,9.3,https://book.douban.com/subject/2035179/,有些书如同没有剑柄的剑，不论你从哪个角度去握它，它都要把你割的鲜血泠泠，但你为了欣赏它，就不得不拿起它。乔治·奥威尔的《动物庄园》就是这样一本书，它躺在那里，灿灿光芒照得的眼花缭乱，但你敢拿起来看么？它是没有剑柄的剑，霍的一声就会触疼你。《动物庄园》是童...
9,房思琪的初恋乐园,林奕含,北京联合出版公司,2018,45.0,9.2,https://book.douban.com/subject/27614904/,——你以血书，我以泪和。这几天又在看林奕含的各种视频。去年只看了那一期书房里、她离世8天前的采访，这一次才发现了更多线索。（锵锵三人行那一期，真的是太粗糙了，窦文涛对她没有丝毫了解，仅凭一些花边新闻就开始拼凑想象。反倒是另一位女嘉宾说了几句掷地有声的话。所...
10,三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998,39.5,9.3,https://book.douban.com/subject/1019568/,作为孔明，他一直比较喜欢故弄玄虚。所以我们可以知道这是一位信仰神秘主义的前辈。我从小就知道孔明，觉得他跟诸葛亮都是我国历史名人，上小学二年级的时候，我被同桌女生教训，她告诉我，孔明也姓诸，叫诸孔明，跟诸葛亮是亲戚。我很欣慰，这两个名人终于可以扯上关系了。可...
11,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,群众出版社,1981,53.0,9.3,https://book.douban.com/subject/1040211/,众所周知，柯南道尔并不是历史上最杰出的侦探小说家。在他之后出现了无数更牛逼的家伙：黄金时代的阿加莎克里斯蒂，艾勒里奎因和约翰狄克森卡尔——他们创作了不同凡响的故事，无懈可击的推理以及匪夷所思的密室；还有加斯东勒鲁，一个玩票的法国人，以一部《黄屋奇案》跻身于...
12,白夜行,[日] 东野圭吾,南海出版公司,2013,39.5,9.2,https://book.douban.com/subject/10554308/,读罢《白夜行》，感到相当的受触动，这样震撼的书并不是那么多的。从傍晚开始，我一直通宵到早上读完。之后又回味良久，很想找人讨论讨论，于是就上了豆瓣跟百度白夜行贴吧，看到了大家的热烈讨论（虽然有些文字已经是在两三年前留下的了）。让我感到意外的是，我的理解似乎有...
13,小王子,[法] 圣埃克苏佩里,人民文学出版社,2003,22.0,9.1,https://book.douban.com/subject/1084336/,那天我第一次打开《小王子》，就呆了。不是因为它的清新剔透，而是圣埃克苏佩里的那些画儿。在过去的一年里，我收到过很多画着小人的卡片，但是一直到那一天看到小王子里面一样的画面，我才知道，原来那些小人和花花草草曾经并且一直在这样忧伤的童话里生长着。圣埃克苏佩里把...
14,安徒生童话故事集,（丹麦）安徒生,人民文学出版社,1997,25.0,9.3,https://book.douban.com/subject/1046209/,我见过不少有能耐的人，他们能把生活过成段子，随便说一段个人生活都跟八卦娱乐圈似的。我还见过很多人，他们有本事把生活编织成童话，举手投足都是仙气。前者轻松，后者诗意。要轻松地生活，你无疑需要强大的内心和四两拨千斤的技巧；而要诗意地生活，你可能更需要不屈的意...
